Title,Address,Price,Bedrooms,Bathrooms,ContactName,ContactPhone
"Freehold 3.5 Storey Inter-terrace with Lift, Pool & Attic…",JALAN NOVENA SELATAN,"$7,850,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
PARK NOVA…,"18 Tomlinson Rd, Singapore","$5,868,000",3Bedrooms,3Bathrooms,Martin Ong,+65 85339828+65 85339828
"Semi-detached House with Mezzanine, Attic, Swimming Pool and Lift…","Mountbatten Rd, Singapore","$7,676,000",4Bedrooms,4Bathrooms,Martin Ong,+65 85339828+65 85339828
"Brand New Freehold 2-Storey Detached House with Attic, Swimming Pool and Lift…",SIGLAP ROAD,"$8,570,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
3 ORCHARD BY-THE-PARK…,"3 Orchard Boulevard, Singapore","$3,837,600 -​ $6,393,600",,,Martin Ong,+65 85339828+65 85339828
HIGH PARK RESIDENCES…,"Fernvale Rd, Singapore","$1,188,888",2Bedrooms,2Bathrooms,Martin Ong,+65 85339828+65 85339828
LEEDON GREEN…,"26 Leedon Heights, Singapore","$2,866,000",,,Martin Ong,+65 85339828+65 85339828
HYLL ON HOLLAND…,89 Holland Road,"$1,716,700",2Bedrooms,1Bathrooms,Martin Ong,+65 85339828+65 85339828
PERFECT TEN…,"323 Bukit Timah Rd, Singapore 259713","$4,231,800",3Bedrooms,3Bathrooms,Martin Ong,+65 85339828+65 85339828
PERFECT TEN…,"323 Bukit Timah Rd, Singapore 259713","$2,142,900",2Bedrooms,2Bathrooms,Martin Ong,+65 85339828+65 85339828
Grange Residences 4 Br for Sale…,91 Grange Road,"$8,000,000",4Bedrooms,4Bathrooms,Michael Lee,
YEW MEI GREEN…,CHOA CHU KANG NORTH 6,"$1,250,000",3Bedrooms,2Bathrooms,Chin Whee Wu,+65 96157959+65 96157959
BRAND NEW FREEHOLD 2.5-STOREY BUNGALOW IN IDYLLIC EAST…,TOH HEIGHTS,"$8,930,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
BRAND NEW 3.5-STOREY BUNGALOW WITH ATTIC…,JALAN KAYU,"$8,730,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
SEMI-DETACHED HOUSE AT HOLLAND ROAD…,HOLLAND ROAD,"$8,100,000",5Bedrooms,5Bathrooms,Martin Ong,+65 85339828+65 85339828
Title,Address,Price,Bedrooms,Bathrooms,ContactName,ContactPhone
LLOYD SIXTYFIVE…,LLOYD ROAD,"$2,959,000",1Bedrooms,1Bathrooms,Martin Ong,+65 85339828+65 85339828
LLOYD SIXTYFIVE…,LLOYD ROAD,"$5,717,000",2Bedrooms,2Bathrooms,Martin Ong,+65 85339828+65 85339828
SEASCAPE…,COVE WAY,"$4,800,000",3Bedrooms,3Bathrooms,Jocelyn Choong,+65 92966840+65 92966840
2.5-STOREY BUNGALOW IN OCEAN DRIVE…,OCEAN DRIVE,"$27,500,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
SEAFRONT BUNGALOW ALONG OCEAN DRIVE…,OCEAN DRIVE,"$36,800,000",7Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
BUNGALOW WITH PRIVATE BERTH ON TREASURE ISLAND…,TREASURE ISLAND,"$21,800,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
WATERFRONT BUNGALOW ALONG OCEAN DRIVE…,OCEAN DRIVE,"$27,500,000",6Bedrooms,6Bathrooms,Martin Ong,+65 85339828+65 85339828
THE SAIL @ MARINA BAY…,"Marina Blvd, Singapore","$3,150,000",3Bedrooms,3Bathrooms,Martin Ong,+65 85339828+65 85339828
PETIT JERVOIS…,"33 Jervois Road, Singapore","$1,773,000 -​ $2,244,000",,,Jocelyn Choong,+65 92966840+65 92966840
MEYERHOUSE…,MEYER ROAD,"$7,300,000",4Bedrooms,4Bathrooms,Martin Ong,+65 85339828+65 85339828
EDEN RESIDENCES CAPITOL…,STAMFORD ROAD,"$12,891,900",4Bedrooms,5Bathrooms,Chin Whee Wu,+65 96157959+65 96157959
EDEN RESIDENCES CAPITOL…,STAMFORD ROAD,"$11,294,850",3Bedrooms,4Bathrooms,Chin Whee Wu,+65 96157959+65 96157959
TURQUOISE…,"Cove Dr, Singapore","$7,000,000",4Bedrooms,4Bathrooms,Chin Whee Wu,+65 96157959+65 96157959
WALK-UP LANDED RESIDENTIAL ON 2ND FLOOR…,CRANE ROAD,"$1,630,000",,,Chin Whee Wu,+65 96157959+65 96157959
BOTANIC GARDEN MANSIONS…,TAMAN SERASI,"$4,280,000",3Bedrooms,3Bathrooms,Jocelyn Choong,+65 92966840+65 92966840
